"file","gef_id","doc_type","ext","scanned","year_text","year_filename","year_meta","final_year","method"
"gef_9136_Terminal_Evaluation.pdf","9136","Terminal_Evaluation","pdf","FALSE","2023","NA","NA","2023","text"
"gef_9137_Mid-Term_Review.docx","9137","Mid-Term_Review","docx","FALSE","2023","NA","2022","2023","text"
"gef_9138_Terminal_Evaluation.pdf","9138","Terminal_Evaluation","pdf","FALSE","NA","NA","NA","NA","none"
"gef_9139_Terminal_Evaluation.docx","9139","Terminal_Evaluation","docx","FALSE","2022","NA","2023","2022","text"
"gef_9145_Mid-Term_Review.pdf","9145","Mid-Term_Review","pdf","FALSE","2023","NA","NA","2023","text"
"gef_9171_Terminal_Evaluation.pdf","9171","Terminal_Evaluation","pdf","FALSE","2020","NA","NA","2020","text"
"gef_9178_Mid-Term_Review.pdf","9178","Mid-Term_Review","pdf","FALSE","2021","NA","NA","2021","text"
"gef_9213_Terminal_Evaluation.pdf","9213","Terminal_Evaluation","pdf","FALSE","2024","NA","NA","2024","text"
"gef_9225_Terminal_Evaluation.pdf","9225","Terminal_Evaluation","pdf","FALSE","2024","NA","NA","2024","text"
"gef_9281_Mid-Term_Review.pdf","9281","Mid-Term_Review","pdf","FALSE","NA","NA","NA","NA","none"
"gef_9291_Mid-Term_Review.pdf","9291","Mid-Term_Review","pdf","FALSE","2020","NA","NA","2020","text"
"gef_9294_Terminal_Evaluation.pdf","9294","Terminal_Evaluation","pdf","FALSE","2019","NA","NA","2019","text"
"gef_9325_Terminal_Evaluation.pdf","9325","Terminal_Evaluation","pdf","FALSE","NA","NA","NA","NA","none"
"gef_9326_Terminal_Evaluation.docx","9326","Terminal_Evaluation","docx","FALSE","NA","NA","2024","2024","ooxml_created"
"gef_9327_Terminal_Evaluation.pdf","9327","Terminal_Evaluation","pdf","FALSE","2020","NA","NA","2020","text"
"gef_9330_Terminal_Evaluation.pdf","9330","Terminal_Evaluation","pdf","FALSE","2024","NA","NA","2024","text"
"gef_9340_Terminal_Evaluation.pdf","9340","Terminal_Evaluation","pdf","FALSE","2021","NA","NA","2021","text"
"gef_9364_Mid-Term_Review.xlsx","9364","Mid-Term_Review","xlsx","FALSE","NA","NA","2022","2022","ooxml_created"
"gef_9383_Terminal_Evaluation.pdf","9383","Terminal_Evaluation","pdf","FALSE","2024","NA","NA","2024","text"
"gef_9405_Mid-Term_Review.pdf","9405","Mid-Term_Review","pdf","FALSE","NA","NA","NA","NA","none"
"gef_9417_Mid-Term_Review.pdf","9417","Mid-Term_Review","pdf","FALSE","2022","NA","NA","2022","text"
"gef_9423_Mid-Term_Review.pdf","9423","Mid-Term_Review","pdf","FALSE","2021","NA","NA","2021","text"
"gef_9488_Project_Implementation_Report.pdf","9488","Project_Implementation_Report","pdf","FALSE","2025","NA","NA","2025","text"
"gef_9498_Mid-Term_Review.pdf","9498","Mid-Term_Review","pdf","FALSE","2025","NA","NA","2025","text"
"gef_9513_Terminal_Evaluation.xlsx","9513","Terminal_Evaluation","xlsx","FALSE","NA","NA","2010","","suspect_template_date"
"gef_9515_Terminal_Evaluation.pdf","9515","Terminal_Evaluation","pdf","FALSE","2019","NA","NA","2019","text"
"gef_9517_Mid-Term_Review.pdf","9517","Mid-Term_Review","pdf","FALSE","2022","NA","NA","2022","text"
"gef_9519_Project_Implementation_Report.pdf","9519","Project_Implementation_Report","pdf","FALSE","2024","NA","NA","2024","text"
"gef_9524_Mid-Term_Review.pdf","9524","Mid-Term_Review","pdf","FALSE","2024","NA","NA","2024","text"
"gef_9526_Mid-Term_Review.pdf","9526","Mid-Term_Review","pdf","FALSE","2023","NA","NA","2023","text"
"gef_9537_Terminal_Evaluation.docx","9537","Terminal_Evaluation","docx","FALSE","NA","NA","2022","2022","ooxml_created"
"gef_9556_Mid-Term_Review.pdf","9556","Mid-Term_Review","pdf","FALSE","2022","NA","NA","2022","text"
"gef_9575_Terminal_Evaluation.pdf","9575","Terminal_Evaluation","pdf","FALSE","NA","NA","NA","NA","none"
"gef_9660_Terminal_Evaluation.pdf","9660","Terminal_Evaluation","pdf","FALSE","2025","NA","NA","2025","text_deep"
"gef_967_Evaluation.doc","967","Evaluation","doc","FALSE","NA","NA","2007","2007","ole_created"
"gef_9673_Terminal_Evaluation.pdf","9673","Terminal_Evaluation","pdf","FALSE","2025","NA","NA","2025","text"
"gef_9674_Terminal_Evaluation.pdf","9674","Terminal_Evaluation","pdf","FALSE","2020","NA","NA","2020","text"
"gef_9714_Mid-Term_Review.pdf","9714","Mid-Term_Review","pdf","FALSE","2020","NA","NA","2020","text"
"gef_9760_Terminal_Evaluation.pdf","9760","Terminal_Evaluation","pdf","FALSE","2024","NA","NA","2024","text"
"gef_9793_Mid-Term_Review.pdf","9793","Mid-Term_Review","pdf","FALSE","NA","NA","NA","NA","none"
"gef_9820_Terminal_Evaluation.pdf","9820","Terminal_Evaluation","pdf","FALSE","2023","NA","NA","2023","text"
"gef_9842_Terminal_Evaluation.pdf","9842","Terminal_Evaluation","pdf","FALSE","2025","NA","NA","2025","text"
"gef_9897_Project_Implementation_Report.pdf","9897","Project_Implementation_Report","pdf","FALSE","2025","NA","NA","2025","text"
"gef_9923_Terminal_Evaluation.pdf","9923","Terminal_Evaluation","pdf","FALSE","2022","NA","NA","2022","text"
"gef_9928_Terminal_Evaluation.docx","9928","Terminal_Evaluation","docx","FALSE","NA","NA","2023","2023","ooxml_created"
"gef_9948_Terminal_Evaluation.docx","9948","Terminal_Evaluation","docx","FALSE","NA","NA","2021","2021","ooxml_created"
"gef_9997_Terminal_Evaluation.pdf","9997","Terminal_Evaluation","pdf","FALSE","2025","NA","NA","2025","text"
