"actor_code","actor_name","url","final_url","status","title","site_name","heading","formerly","lang","fetched_at"
"BF85","Regional Directorates of the Ministry of Agriculture, Burkina Faso","https://www.agriculture.gov.bf/accueil","https://www.agriculture.gov.bf/accueil","200","Accueil - Ministère de l'Agriculture et des Aménagements Hydro-agricoles","Ministère de l'Agriculture et des Aménagements Hydro-agricoles","","","fr","2026-09-14 12:48"
"BF86","Institut des Sciences et des Sociétes","http://www.inss.gov.bf/","","no response","","","","","","2026-09-14 12:48"
"BF88","Direction Generale des Eaux et des Forets, Burkina Faso","https://www.environnement.gov.bf/ministere/directions/details?tx_news_pi1%5Baction%5D=detailand tx_news_pi1%5Bcontroller%5D=Newsand tx_news_pi1%5Bnews%5D=90and cHash=9f63c30e1e249e50dc7ae5826beff433","","no response","","","","","","2026-09-14 12:49"
"BF89","National Council of Organic Agriculture, Burkina Faso","https://www.cnabio.net/","https://www.cnabio.net/","200","Accueil - Site du CNABio !","Site du CNABio !","","","fr-FR","2026-09-14 12:49"
"BF90","Association pour la Recherche et la Formation en Agroecologie","https://www.ongarfa.org/","https://www.ongarfa.org/","200","Accueil - ARFA","ARFA","Cultivons un avenir durable","","fr-FR","2026-09-14 12:49"
"BF91","Ministry of Environment and Sustainable Development, Burkina Faso","https://www.environnement.gov.bf/accueil","https://www.environnement.gov.bf/accueil","200","Accueil - Ministère de l'Environnement, de l'Eau et de l'Assainissement","Ministère de l'Environnement, de l'Eau et de l'Assainissement","","","ab","2026-09-14 12:49"
"BF92","The Wouol Association","http://www.bibalex.org/search4dev/files/284114/116279.pdf","http://www.bibalex.org/search4dev/files/284114/116279.pdf","200 no readable page","","","","","","2026-09-14 12:49"
"BF93","Fédération des Diéma Tin Tua","https://www.tintua.org/","","no response","","","","","","2026-09-14 12:49"
"BF95","Groupe de Recherche et d’Action sur le Foncier","https://www.graf-bf.org/","https://www.graf-bf.org/","200 no readable page","","","","","","2026-09-14 12:49"
"BF96","Regional Directorates of Burkina Faso","https://www.servicepublic.gov.bf/contact/directions-regionales-de-lenvironnement-de-leconomie-verte-et-du-changement-climatique","https://service-public.gov.bf/","200","Service Public — Burkina Faso","Service Public Burkina Faso","Vos démarches administratives,en un seul endroit.","","fr","2026-09-14 12:49"
"BF97","Ministry of Health, Burkina Faso","https://www.sante.gov.bf/accueil","https://www.sante.gov.bf/accueil","200","Accueil - Ministère de la Santé et de l’Hygiène Publique","Ministère de la Santé et de l’Hygiène Publique","","","fr","2026-09-14 12:49"
"BF98","Ministry of Education, Burkina Faso","https://www.education.gov.bf/accueil","https://www.education.gov.bf/accueil","200","Accueil - Ministère de L'Education Nationale, de l'Alphabétisation et de la Promotion des Langues Nationales","Ministère de L'Education Nationale, de l'Alphabétisation et de la Promotion des Langues Nationales","","","fr","2026-09-14 12:49"
"BF99","Comité Interprofessionel du Riz du Burkina Faso","http://www.simagri.net/pageUtilisateur/showPage/20","","no response","","","","","","2026-09-14 12:49"
"BF100","Agence d'Etudes d'Ingénierie et de Maîtrise d'Oeuvre","https://www.ageim-ic.com/index.php/2015-10-19-23-09-00/notre-agence","","no response","","","","","","2026-09-14 12:50"
"BF106","L'association des Grossistes et Détaillants d'Intrants Agricoles","http://www.agrodia.org/","","no response","","","","","","2026-09-14 12:50"
