id,key,title,doc_date,doc_type,country,project_id,screen_status,already_have,topics,pdf_url,web_url,report_name,report_no
40079232,P117635,Kenya - Kenya Water Security and Climate Resilience Project,2025-12-19T05:00:00Z,Implementation Completion and Results Report,Kenya,KE-Kenya Water Security and Climate Resilience Project -- P117635,in_scope,TRUE,NA,https://documents.worldbank.org/curated/en/099122425102515384/pdf/BOSIB-24e62aba-6021-41bf-82e8-bc2d425ba9ef.pdf,http://documents.worldbank.org/curated/en/099122425102515384,NA,ICR00185
30199829,P117745,Egypt - Farm-level Irrigation Modernization Project,2018-06-12T04:00:00Z,Implementation Completion and Results Report,"Egypt, Arab Republic of",EG-EGYPT-Farm-level Irrigation Modernization -- P117745,in_scope,TRUE,"Agriculture,Water Resources",http://documents.worldbank.org/curated/en/851281529960662155/pdf/Implementation-Completion-and-Results-Report-ICR-Document-06222018.pdf,http://documents.worldbank.org/curated/en/851281529960662155,Egypt - Farm-level Irrigation Modernization Project,ICR4249
34437579,P117876,Uganda - Support to Municipal Infrastructure Development Program-for-Results,2024-12-16T05:00:00Z,Implementation Completion and Results Report,Uganda,UG-Uganda Support to Municipal Infrastructure Development Program -- P117876,to_screen,FALSE,NA,https://documents.worldbank.org/curated/en/099121724101528052/pdf/BOSIB-b7203d75-c5c7-487e-a5e2-f0720f8cefe3.pdf,http://documents.worldbank.org/curated/en/099121724101528052,NA,ICR00129
30686329,P118018,Cameroon - Global Environment Facility Trust Fund Ngoyla Mintom Project,2018-12-04T05:00:00Z,Implementation Completion and Results Report,Cameroon,CM-Cameroon:NGOYLA MINTOM PROJECT -- P118018,to_screen,FALSE,"Energy,Environment,Macroeconomics and Economic Growth,Poverty Reduction,Social Protections and Labor,Water Resources",http://documents.worldbank.org/curated/en/360571544565418518/pdf/icr00004458-12042018-636797304924335549.pdf,http://documents.worldbank.org/curated/en/360571544565418518,Cameroon - Global Environment Facility Trust Fund Ngoyla Mintom Project,ICR4458
34332658,P118045,Togo - Agricultural Sector Support Project,2021-06-17T04:00:00Z,Implementation Completion and Results Report,Togo,TG-Togo Agricultural Sector Support Project -- P118045,in_scope,TRUE,NA,http://documents.worldbank.org/curated/en/099920006032429926/pdf/SECBOS1278508309184b3108757f55d556.pdf,http://documents.worldbank.org/curated/en/099920006032429926,NA,ICR5405
26997049,P118101,Rwanda - Skills Development Project,2016-11-28T05:00:00Z,Implementation Completion and Results Report,Rwanda,RW-Skills Development Project -- P118101,to_screen,FALSE,NA,http://documents.worldbank.org/curated/en/212731480957725928/pdf/ICR-Main-Document-P118101-2016-11-29-19-34-11302016.pdf,http://documents.worldbank.org/curated/en/212731480957725928,Rwanda - Skills Development Project,ICR3915
30727023,P118316,Africa - Lake Victoria Environmental Management Project (Burundi and Rwanda),2018-12-13T05:00:00Z,Implementation Completion and Results Report,Africa,3A-AFCC2/RI-Lake Victoria Environmental Management Project (Burundi and Rwanda) -- P118316,in_scope,TRUE,"Agriculture,Energy,Environment,Water Resources",http://documents.worldbank.org/curated/en/386721545927605284/pdf/icr00004335-12182018-636810265662041741.pdf,http://documents.worldbank.org/curated/en/386721545927605284,Africa - Lake Victoria Environmental Management Project (Burundi and Rwanda),ICR4335
32293365,P119063,Ghana - Greater Accra Metropolitan Area (GAMA) Sanitation and Water Project,2020-07-27T04:00:00Z,Implementation Completion and Results Report,Ghana,GH-Ghana Greater Accra Metropolitan Area Sanitation and Water Project -- P119063,to_screen,FALSE,"Environment,Health, Nutrition and Population,Science and Technology Development,Water Resources,Water Supply and Sanitation",http://documents.worldbank.org/curated/en/651871596291589495/pdf/Ghana-Greater-Accra-Metropolitan-Area-GAMA-Sanitation-and-Water-Project.pdf,http://documents.worldbank.org/curated/en/651871596291589495,Ghana - Greater Accra Metropolitan Area (GAMA) Sanitation and Water Project,ICR5243
29326525,P119140,Tunisia - Fourth Northwest Mountainous Forested Areas Development Project,2017-12-12T05:00:00Z,Implementation Completion and Results Report,Tunisia,TN-4th Northwest Mountainous & Forested Areas Development Project (PNO4) -- P119140,in_scope,TRUE,"Agriculture,Energy,Environment,Governance,Health, Nutrition and Population,Industry,Law and Development,Public Sector Development,Rural Development,Science and Technology Development,Social Development,Water Resources",http://documents.worldbank.org/curated/en/456901515207622831/pdf/Implementation-Completion-and-Results-Report-ICR-Document-12272017.pdf,http://documents.worldbank.org/curated/en/456901515207622831,Tunisia - Fourth Northwest Mountainous Forested Areas Development Project,ICR4287
29977334,P119328,Cote d'Ivoire - Emergency Basic Education Support Project,2018-05-30T04:00:00Z,Implementation Completion and Results Report,Cote d'Ivoire,CI-COTE D'IVOIRE - Emergency Basic Education Support Project - GPEF Grant -- P119328,to_screen,FALSE,Education,http://documents.worldbank.org/curated/en/651771528744980357/pdf/ICR-Final-P119328-for-submission-to-BOS-06052018.pdf,http://documents.worldbank.org/curated/en/651771528744980357,Cote d'Ivoire - Emergency Basic Education Support Project,ICR4288
